Sr No,FG CAT No,HAUSING,PMR,CBCT GROUP,KINEMATIC ASLY,MAGNETIC ASLY,TEST RESISTOR
1,AUF3C200601,CB50402,CB92476,CB92419,CB92452,CB92372T,XK50163
2,AUF3C200602,TB50402,TB92476,TB92452,TB92419,TB92372T,TK50163
