FG CAT NO,HAUSING,FEEDDER,HAUSING_QR_CODE,DOOR,PMR,FEEDDER,PMR_QR_CODE,DOOR,MAGNETIC AS,FEEDDER,MAGNETIC AS_QR_CODE,DOOR,CBCT,FEEDDER,CBCT_QR_CODE,DOOR,KINAMETIC AS,FEEDDER,KINAMETIC AS_QR_CODE,DOOR,REGISTOR 1,FEEDDER,REGISTOR 1_QR_CODE,DOOR,QTY,QTY_DONE
AUF3C200601,CB50402,PENDING,PENDING,1,CB92476,PENDING,PENDING,2,CB92419,PENDING,PENDING,3,CB92452,PENDING,PENDING,4,CB92372T,PENDING,PENDING,9,XK50163,PENDING,PENDING,10,45,Empty
AUF3C200601,CB50402,PENDING,PENDING,1,CB92476,PENDING,PENDING,2,CB92419,PENDING,PENDING,3,CB92452,PENDING,PENDING,4,CB92372T,PENDING,PENDING,9,XK50163,PENDING,PENDING,10,0,Empty
AUF3C200602,TB50402,PENDING,PENDING,5,TB92476,PENDING,PENDING,6,TB92452,PENDING,PENDING,7,TB92419,PENDING,PENDING,8,TB92372T,PENDING,PENDING,9,TK50163,PENDING,PENDING,11,45,Empty
AUF3C200602,TB50402,PENDING,PENDING,5,TB92476,PENDING,PENDING,6,TB92452,PENDING,PENDING,7,TB92419,PENDING,PENDING,8,TB92372T,PENDING,PENDING,9,TK50163,PENDING,PENDING,11,1,Empty
