INPUT,OUTPUT
CYCLE START PB 1,PUL
CYCLE START PB2,DIR
RESET,PULL
EMG STOP,DIRR
SAFETY SENSOR,GREEN LAMP
PRESSURE SWITCH,RED LAMP
PART PRESENT,KNOB CYL SOL
KNOB CYL HM RS,TOP CYL SOL
KNOB CYL END RS,SPARE
TOP CYL HM RS,PUSHER CYL SOL FWD
TOP CYL END RS,RIGHT LEFT CYL SOL FWD
SPARE,PUSHER CYL SOL REV
SPARE,RIGHT LEFT CYL SOL REV
PUSHER CYL HM RS,SPARE
PUSHER CYL END RS,SPARE
RIGHT LEFT CYL HM RS,FOCUS
RIGHT LEFT CYL END RS,
HOME PROXI,
MID PROXI,
END PROXI,
SPARE,
SPARE,
SPARE,
SPARE,
